datetime,price,long_buy,long_sell,short_sell,short_buy
 2021-07-20 10:56:00,30000.00000000,30000.00000000,,,
 2021-07-20 10:56:53,30204.24000000,,30204.24000000,,
 2021-07-20 11:17:13,30005.01000000,30005.01000000,,,
 2021-07-20 11:17:51,29856.31000000,29856.31000000,,,
 2021-07-20 11:18:56,29567.50000000,29567.50000000,,,
 2021-07-20 11:20:25,29750.53000000,,29750.53000000,,
 2021-07-20 11:21:37,29585.14000000,29585.14000000,,,
 2021-07-20 11:25:19,29742.32000000,,29742.32000000,,
 2021-07-20 11:32:49,29590.79000000,29590.79000000,,,
 2021-07-20 11:39:03,29665.01000000,,29665.01000000,,
 2021-07-20 11:39:12,29666.91000000,29666.91000000,,,
 2021-07-20 16:56:46,29657.65000000,29657.65000000,,,
 2021-07-20 16:56:55,29657.65000000,,29657.65000000,,
 2021-07-20 16:59:04,27959.19000000,27959.19000000,,,
 2021-07-20 16:59:13,29645.81000000,,29645.81000000,,
 2021-07-20 17:58:06,29466.27000000,29466.27000000,,,
 2021-07-20 17:58:35,29301.01000000,29301.01000000,,,
 2021-07-20 18:02:27,29457.66000000,,29457.66000000,,
 2021-07-20 18:20:50,29613.59000000,,29613.59000000,,
 2021-07-20 18:21:19,29589.58000000,29589.58000000,,,
 2021-07-20 18:21:27,29619.71000000,,29619.71000000,,
 2021-07-20 19:36:45,29459.99000000,29459.99000000,,,
 2021-07-20 19:37:45,29697.05000000,,29697.05000000,,
 2021-07-20 20:22:31,27589.99000000,27589.99000000,,,
 2021-07-20 20:22:39,29474.99000000,,29474.99000000,,
 2021-07-20 20:22:49,29684.44000000,29684.44000000,,,
 2021-07-20 20:22:58,29473.46000000,,29473.46000000,,
 2021-07-20 20:23:06,29689.76000000,29689.76000000,,,
 2021-07-20 20:23:15,29610.00000000,,29610.00000000,,
 2021-07-20 23:13:40,29809.99000000,,,29809.99000000,
 2021-07-20 23:31:11,30890.00000000,,,30890.00000000,
